audit,strategy,model,protected_attribute,metric,value,ci_low,ci_high,p_value,significant,n_disadvantaged,n_advantaged,small_sample_warning,note
ai_fair_recruitment,post_processing,random_forest,gender,equalized_odds_diff,-0.007806935159634244,-0.014511862279370336,-0.0006257599327683018,0.0033333333333333335,True,6344,10755,False,driven_by_fpr_gap
ai_fair_recruitment,post_processing,random_forest,gender,predictive_parity_diff,0.016043443980829464,-0.03603296834719748,0.06750117380249998,0.6,False,591,1146,False,
ai_fair_recruitment,post_processing,random_forest,gender,accuracy_equality_diff,0.022108104212741564,0.01032540553200478,0.03309684035456927,0.0,True,8410,14652,False,
ai_fair_recruitment,post_processing,gradient_boosting,gender,demographic_parity_diff,-0.012067780676579723,-0.019022783593235434,-0.0030419461186405273,0.006666666666666667,True,8410,14652,False,
ai_fair_recruitment,post_processing,gradient_boosting,gender,disparate_impact_ratio,0.8847357016813904,0.8211825043738531,0.9694977299344935,0.0033333333333333335,True,8410,14652,False,
ai_fair_recruitment,post_processing,gradient_boosting,gender,equal_opportunity_diff,-0.014795927365876538,-0.03484925294384615,0.007330740801187159,0.20333333333333334,False,2066,3897,False,
ai_fair_recruitment,post_processing,gradient_boosting,gender,equalized_odds_diff,-0.014795927365876538,-0.03484925294384615,0.007330740801187159,0.20333333333333334,False,2066,3897,False,driven_by_tpr_gap
ai_fair_recruitment,post_processing,gradient_boosting,gender,predictive_parity_diff,-0.014934066173160176,-0.05595793590887257,0.0283900815574408,0.48333333333333334,False,779,1534,False,
ai_fair_recruitment,post_processing,gradient_boosting,gender,accuracy_equality_diff,0.01626953404599074,0.006382802784408007,0.026417011000839746,0.006666666666666667,True,8410,14652,False,
benefits_denial,baseline,logistic_regression,sex,demographic_parity_diff,-0.11654028728848588,-0.13052557078452512,-0.10301026783621745,0.0,True,2153,4360,False,
benefits_denial,baseline,logistic_regression,sex,disparate_impact_ratio,0.3142879043548429,0.25569992172432365,0.37185847800624705,0.0,True,2153,4360,False,
benefits_denial,baseline,logistic_regression,sex,equal_opportunity_diff,-0.14891640866873063,-0.20220367094206101,-0.0949469261388766,0.0,True,238,1330,False,
benefits_denial,baseline,logistic_regression,sex,equalized_odds_diff,-0.14891640866873063,-0.20220367094206101,-0.0949469261388766,0.0,True,238,1330,False,driven_by_tpr_gap
benefits_denial,baseline,logistic_regression,sex,predictive_parity_diff,-0.20265211523792753,-0.2965067769758844,-0.10405093000058688,0.0,True,115,741,False,
benefits_denial,baseline,logistic_regression,sex,accuracy_equality_diff,0.12865949794824372,0.10899812827844235,0.14830951158400696,0.0,True,2153,4360,False,
benefits_denial,baseline,logistic_regression,national_origin,demographic_parity_diff,0.14395124263898595,0.11266288426988721,0.18012310360315384,0.0,True,688,5825,False,
benefits_denial,baseline,logistic_regression,national_origin,disparate_impact_ratio,2.238565396940407,1.9384340461137612,2.5730830437849743,0.0,True,688,5825,False,
