audit,strategy,model,metric,value,ci_low,ci_high,n
benefits_denial,in_processing,logistic_regression,f1,0.2798564838544336,0.252734286015384,0.30489938664612176,6513
benefits_denial,in_processing,random_forest,accuracy,0.8113004759711346,0.8027022877322278,0.8214340549669891,6513
benefits_denial,in_processing,random_forest,auc,0.6450099048719589,,,6513
benefits_denial,in_processing,random_forest,f1,0.44414292175486203,0.4200402172561052,0.46731905485731273,6513
benefits_denial,in_processing,gradient_boosting,accuracy,0.8014739751266697,0.7922462766774144,0.8117687701520037,6513
benefits_denial,in_processing,gradient_boosting,auc,0.6347301180330576,,,6513
benefits_denial,in_processing,gradient_boosting,f1,0.37141468157510943,0.3457633184954021,0.39530907898672946,6513
benefits_denial,post_processing,logistic_regression,accuracy,0.8017810532780593,0.7928681099339782,0.8113810839858744,6513
benefits_denial,post_processing,logistic_regression,auc,,,,6513
benefits_denial,post_processing,logistic_regression,f1,0.39981403998140397,0.3762274098004645,0.42692422966759197,6513
benefits_denial,post_processing,random_forest,accuracy,0.8186703516044833,0.8095309381237525,0.8274374328266544,6513
benefits_denial,post_processing,random_forest,auc,,,,6513
benefits_denial,post_processing,random_forest,f1,0.4867448935245546,0.4618542401352597,0.5114879053381662,6513
benefits_denial,post_processing,gradient_boosting,accuracy,0.8180561953017043,0.8096038691847075,0.8277521879318286,6513
benefits_denial,post_processing,gradient_boosting,auc,,,,6513
benefits_denial,post_processing,gradient_boosting,f1,0.4749667700487373,0.44936069754618146,0.4994684194304918,6513
compas,baseline,logistic_regression,accuracy,0.6533497234173326,0.6342655193607868,0.6704133374308544,3254
compas,baseline,logistic_regression,auc,0.6775374489720393,,,3254
compas,baseline,logistic_regression,f1,0.6340038935756004,0.6111472164188673,0.6523678799762288,3254
compas,baseline,random_forest,accuracy,0.6561155500921942,0.6382913337430854,0.6724185617701292,3254
compas,baseline,random_forest,auc,0.689737852451145,,,3254
compas,baseline,random_forest,f1,0.6358607224210869,0.6124437398509824,0.653823485561174,3254
compas,baseline,gradient_boosting,accuracy,0.6582667486170867,0.6402504609711125,0.6744237861094038,3254
compas,baseline,gradient_boosting,auc,0.6904106339328585,,,3254
compas,baseline,gradient_boosting,f1,0.6351706036745407,0.6121650400644608,0.6535633717462211,3254
compas,unawareness,logistic_regression,accuracy,0.5712968653964352,0.5534572833435771,0.5903503380454825,3254
compas,unawareness,logistic_regression,auc,0.6043188965244999,,,3254
compas,unawareness,logistic_regression,f1,0.5679777020749457,0.5459756193017266,0.5894819527905424,3254
compas,unawareness,random_forest,accuracy,0.5900430239704979,0.5746773202212662,0.6089505224339274,3254
compas,unawareness,random_forest,auc,0.6265075903795094,,,3254
compas,unawareness,random_forest,f1,0.6110787172011662,0.5921157512631539,0.63125688005785,3254
compas,unawareness,gradient_boosting,accuracy,0.5900430239704979,0.5735786724031962,0.6077366318377381,3254
compas,unawareness,gradient_boosting,auc,0.62753621538117,,,3254
compas,unawareness,gradient_boosting,f1,0.6090269636576787,0.5890577373886797,0.6300145142236891,3254
compas,unawareness_proxy_removal,logistic_regression,accuracy,0.5719114935464045,0.5556084818684696,0.588360479409957,3254
compas,unawareness_proxy_removal,logistic_regression,auc,0.5909346253774314,,,3254
compas,unawareness_proxy_removal,logistic_regression,f1,0.6569810391529181,0.6398188875809833,0.6755919829572627,3254
compas,unawareness_proxy_removal,random_forest,accuracy,0.5786724031960664,0.5617547633681622,0.5945067609096497,3254
compas,unawareness_proxy_removal,random_forest,auc,0.6029027342067157,,,3254
compas,unawareness_proxy_removal,random_forest,f1,0.6592095451155854,0.6423033229567107,0.677329635735673,3254
compas,unawareness_proxy_removal,gradient_boosting,accuracy,0.5786724031960664,0.5617547633681622,0.5945067609096497,3254
compas,unawareness_proxy_removal,gradient_boosting,auc,0.6034413389585077,,,3254
compas,unawareness_proxy_removal,gradient_boosting,f1,0.6592095451155854,0.6423033229567107,0.677329635735673,3254
compas,in_processing,logistic_regression,accuracy,0.5393362015980332,0.5235018438844499,0.5534880147510757,3254
compas,in_processing,logistic_regression,auc,0.5891950724687189,,,3254
compas,in_processing,logistic_regression,f1,0.27197668771248174,0.24715776556305832,0.2961115624914948,3254
compas,in_processing,random_forest,accuracy,0.5381069452980947,0.5184234787953288,0.5556392132759681,3254
